English,Farsi,Source
"File archiver with a high compression ratio. 
","آرشیو کننده فایل با نسبت فشرده سازی بالا. 
",tldr-pages
"More information: <https://manned.org/7z>. 
","اطلاعات بیشتر: <https://manned.org/7z>. 
",tldr-pages
"[a]dd a file or directory to a new or existing archive 
","آرشیو کننده فایل یا دایرکتوری 
",tldr-pages
"Encrypt an existing archive (including filenames) 
","رمزگذاری بر روی فایل آرشیو موجود(ازجمله نام فایل ها) 
",tldr-pages
"E[x]tract an archive preserving the original directory structure 
","خارج کردن فایل از حالت آرشیو با حفظ ساختار دایرکتوری ها 
",tldr-pages
"E[x]tract an archive to a specific directory 
","خارج کردن یک فایل از حالت آرشیو در یک دایرکتوری خاص 
",tldr-pages
"E[x]tract an archive to `stdout` 
","خارج کردن یک فایل از حالت آرشیو و انتقال آن به `stdout` 
",tldr-pages
"[a]rchive using a specific archive type 
","آرشیو کردن با یک فرمت خاص 
",tldr-pages
"[l]ist the contents of an archive 
","نمایش محتویات یک فایل آرشیو 
",tldr-pages
"List available archive types 
","نمایش فرمت های در دسترسی 
",tldr-pages
"Creates aliases -- words that are replaced by a command string. Aliases expire with the current shell session unless defined in the shell's configuration file, e.g. `~/.bashrc`. 
","ایجاد نام مستعار -- کلمه ای که جایگزین یک دستور می باشد. نام های مستعار طول عمری برابر با جلسه جاری شل مربوطه دارند مگر اینکه در فایل های پیکربندی شل مربوط نظیر `~/.bashrc` تعریف شوند. 
",tldr-pages
"More information: <https://tldp.org/LDP/abs/html/aliases.html>. 
","اطلاعات بیشتر: <https://tldp.org/LDP/abs/html/aliases.html>. 
",tldr-pages
"List all aliases 
","نمایش تمامی نام های مستعار 
",tldr-pages
"View the command associated to a given alias 
","نمایش نام مستعار مرتبط با کلمه مشخص شده 
",tldr-pages
"Remove an aliased command 
","حذف یک نام مستعار 
",tldr-pages
"Print and concatenate files. 
","چاپ و ترکیب کردن فایل ها. 
",tldr-pages
"More information: <https://www.gnu.org/software/coreutils/cat>. 
","اطلاعات بیشتر: <https://www.gnu.org/software/coreutils/cat>. 
",tldr-pages
"Print the contents of a file to `stdout` 
","چاپ محتویات فایل بر روی صفحه نمایش 
",tldr-pages
"Change the current working directory. 
","تغییر دایرکتوری جاری. 
",tldr-pages
"More information: <https://manned.org/cd>. 
","اطلاعات بیشتر: <https://manned.org/cd>. 
",tldr-pages
"Go to the specified directory 
","تغییر مسیربه دایرکتوری مشخص شده 
",tldr-pages
"Go to the home directory of the current user 
","تغییر مسیر به دایرکتوری Home کاربر فعلی 
",tldr-pages
"Go up to the parent of the current directory 
","تغییر مسیر به دایرکتوری بالاتر از مسیر جاری 
",tldr-pages
"Go to the previously chosen directory 
","تغییر مسیر به دایرکتوری قبلی 
",tldr-pages
"Change the access permissions of a file or directory. 
","تغییر مجوز(ها)ی دسترسی به یک فایل یا پوشه 
",tldr-pages
"More information: <https://www.gnu.org/software/coreutils/chmod>. 
","اطلاعات بیشتر : <https://www.gnu.org/software/coreutils/chmod>. 
",tldr-pages
"Give the [u]ser who owns a file the right to e[x]ecute it 
","به مالک فایل دسترسی اجرا میده 
",tldr-pages
"Give the [u]ser rights to [r]ead and [w]rite to a file/directory 
","به کابر مالک دسترسی خواند|نوشتن یک فایل|پوشه را میده 
",tldr-pages
"Remove e[x]ecutable rights from the [g]roup 
","دسترسی اجرا را از گروه صلب میکن 
",tldr-pages
"Give [a]ll users rights to [r]ead and e[x]ecute 
","به تمامی کاربرها دسترسی خواندن و اجرا میده 
",tldr-pages
"Give [o]thers (not in the file owner's group) the same rights as the [g]roup 
","به دیگران(کاربرانی که صاحب فایل نیستند) دسترسی های گروه را میده 
",tldr-pages
"Remove all rights from [o]thers 
","به همگان همه دسترسی(ها) را میده 
",tldr-pages
"Change permissions recursively giving [g]roup and [o]thers the ability to [w]rite 
","به صورت بازگشتی به گروه و دیگران دسترسی نوشتن میده 
",tldr-pages
"Recursively give [a]ll users [r]ead permissions to files and e[X]ecute permissions to sub-directories within a directory 
","به صورت بازگشتی در پوشه و زیرپوشه(ها) دسترسی اجرا و خواندن فایل(ها) را میده 
",tldr-pages
"Change user and group ownership of files and directories. 
","مالک فایل یا پوشه را تغییر میدهد 
",tldr-pages
"More information: <https://www.gnu.org/software/coreutils/chown>. 
","اطلاعات بیشتر: <https://www.gnu.org/software/coreutils/chown>. 
",tldr-pages
"Change the owner user of a file/directory 
","تغییر مالک یه فایل یا پوشه 
",tldr-pages
"Change the owner user and group of a file/directory 
","تغییر کاربر و گروه مالک فای 
",tldr-pages
"Recursively change the owner of a directory and its contents 
","تغییر بازگشتی مالک یه پوشه و محتویات آ 
",tldr-pages
"Change the owner of a symbolic link 
","تغییر مالک یک فایل میانبر(به فایل دیگری اشاره میکند) 
",tldr-pages
"Change the owner of a file/directory to match a reference file 
","تغییر مالک یک فایل/پوشه برای همسان شدن با فایل مرج 
",tldr-pages
"Clears the screen of the terminal. 
","پاک کردن صفحه ترمینال 
",tldr-pages
